file,410pred,410err,410amp,410qual,660pred,660err,660amp,660qual
30_51.42,-156.285922204,0.11997025242699999,128.531178601,0.77,-228.16222006,0.09603243896410002,149.56491521200002,0.6925
30_68.56,-156.297236436,0.16468744752599998,221.919233622,0.9325,-228.61313060700002,0.0972095267393,257.505532597,0.87
30_85.70,-156.197139258,0.11645113029899999,320.34633148,0.9775,-228.709179501,0.0837008366974,279.995726594,0.9175
45_0,-155.253506252,0.175279905113,451.28335363599996,0.855,-227.45021149099998,0.14039027990800002,413.300606845,0.95
45_105.85,-157.10414911200002,0.105330845327,596.485738623,0.955,-227.97225398,0.142981457763,448.79514546,0.965
45_127.02,-156.652202299,0.12760395951300002,1354.97391983,0.9125,-229.412891889,0.118880526348,1153.37538088,0.9
45_148.19,-156.605441276,0.11598042099000001,1933.78615834,0.8775,-228.557147058,0.159996547345,1846.47981119,0.9375
45_169.36,-156.416234134,0.266221557869,3228.92223153,1.06,-227.610795336,0.0784827648863,3110.15624045,0.8675
45_190.53,-157.150458781,0.061615035026099996,3373.73053845,0.895,-227.76448097099998,0.09737562434810001,3013.31947234,0.895
45_21.17,-155.408448038,0.0986283766872,740.197401958,0.65,-227.659784291,0.144883854442,786.572730138,0.9325
45_211.70,-157.830872874,0.104074074226,1434.58764139,0.9575,-227.66720268400002,0.131787685392,1156.25170686,0.89
45_232.87,-158.303637005,0.110852848563,472.213139843,0.855,-227.657708965,0.188186724142,572.5066017969999,0.96
45_254.04,-157.151293126,0.17110474340999998,374.84967919300004,0.9275,-227.39046705599998,0.146829917023,404.064751141,0.8725
45_275.21,-158.03181603,0.151511316819,266.658897921,0.7975,-228.307478997,0.171672452928,262.37085838,0.9625
45_296.38,-156.428873841,0.12872125483,310.743320226,0.88,-225.662707057,0.15436238914699998,273.221034548,0.815
45_317.55,-154.110177069,0.156657330547,653.043537954,1.05,-224.283454686,0.113876765466,561.164478418,0.955
45_338.72,-153.680105025,0.0892245671131,536.089992619,0.7975,-224.616551827,0.143625870558,502.639078943,0.9425
45_42.34,-154.235376056,0.060802802501900004,635.266829577,0.6225,-226.993757722,0.15220991379899998,683.013355617,0.9325
45_63.51,-155.99896991399999,0.136948099789,377.58589633,0.9425,-228.38755645900002,0.109312287579,387.66629561800005,0.845
45_84.68,-156.709963869,0.144258865536,409.17945299,0.8925,-228.067044017,0.0930387250443,395.94854055400003,0.94
60_0,-154.760401726,0.140967602848,574.95507941,0.8975,-225.355346,0.141074124901,488.458579306,0.95
60_120.00,-156.430396888,0.117988780128,1470.59983972,0.9125,-229.408563764,0.12135071460899999,1419.26605691,0.9425
60_150.00,-155.87157500700002,0.10927177187300001,2527.12474012,0.92,-228.22823160000002,0.149111958568,2381.66357837,0.9575
60_180.00,-155.975694207,0.0989957230475,2326.71554314,0.97,-227.36281890799998,0.10759716063500001,2289.22376888,0.8875
60_210.00,-157.035890645,0.107369061271,816.245194725,0.8825,-227.48874220599998,0.128368240346,819.91891869,0.89
60_240.00,-156.712731785,0.0991605362049,469.604970153,0.9825,-226.959116684,0.17201396695300003,457.170891321,0.955
60_270.00,-157.189524051,0.0880475435674,492.03652003199994,0.8275,-227.536024513,0.15946200167000002,427.378072586,0.9575
