19920617A.southshetland.ISA.BHT.s_fil -14.18 -95.96
19920617A.southshetland.KONO.BHT.s_fil -0.45 -23.29
19920617A.southshetland.MON.BHT.s_fil -12.02 -88.63
19920617A.southshetland.PAR.BHT.s_fil -12.16 -89.29
19920617A.southshetland.PAS.BHT.s_fil -15.00 -96.05
19920617A.southshetland.PFO.BHT.s_fil -15.19 -95.00
19920617A.southshetland.SBC.BHT.s_fil -14.94 -97.02
19920617A.southshetland.SCZ.BHT.s_fil -13.84 -97.71
19920617A.southshetland.TSK.BHT.s_fil -37.39 163.60
19920617A.southshetland.VSL.BHT.s_fil -12.31 -15.66
19920617A.southshetland.YSS.BHT.s_fil -26.81 -179.69
19920710A.kuril.DRV.BHT.s_fil -11.02 146.10
19920720A.svalbard.CTAO.BHT.s_fil 38.67 137.24
19920720A.svalbard.RAR.BHT.s_fil 39.79 -155.90
19920720A.svalbard.SNZO.BHT.s_fil 29.84 170.91
19920730A.xizang.DRV.BHT.s_fil -19.96 105.21
19920730A.xizang.HRV.BHT.s_fil 76.19 36.75
19920730A.xizang.KIP.BHT.s_fil 40.36 148.86
19920802A.indonesia.ANMO.BHT.s_fil 33.48 179.55
19920802A.indonesia.GSC.BHT.s_fil 29.83 176.23
19920802A.indonesia.KONO.BHT.s_fil 43.78 97.37
19920802A.indonesia.PAS.BHT.s_fil 28.55 176.38
19920802A.indonesia.PFO.BHT.s_fil 28.70 177.24
19920802A.indonesia.SSB.BHT.s_fil 39.18 83.95
19920802A.indonesia.SSB2.BHT.s_fil 39.18 83.95
19920807A.alaska.CAN.BHT.s_fil 13.26 175.08
19920807A.alaska.NWAO.BHT.s_fil 18.20 152.48
19920807A.alaska.SPA.BHT.s_fil -16.18 -142.94
19920828A.ascension.CAN.BHT.s_fil -61.03 34.16
19920828A.ascension.COL.BHT.s_fil 49.16 -36.94
19920828A.ascension.COR.BHT.s_fil 34.03 -55.00
19920828A.ascension.CTAO.BHT.s_fil -46.32 56.30
19920828A.ascension.RAR.BHT.s_fil -33.81 -80.09
19920828A.ascension.SEY.BHT.s_fil 56.88 -2.44
19920828A.ascension.SNZO.BHT.s_fil -67.62 -36.49
19920828A.ascension.YSS.BHT.s_fil 56.95 22.52
19920926A.indonesia.ANMO.BHT.s_fil 34.57 -179.36
19920926A.indonesia.BTO.BHT.s_fil 38.86 177.14
19920926A.indonesia.CCM.BHT.s_fil 44.57 -179.03
19920926A.indonesia.CCY.BHT.s_fil 37.62 178.49
19920926A.indonesia.MON.BHT.s_fil 36.45 177.87
19920926A.indonesia.SFK.BHT.s_fil 36.45 178.79
19920926A.indonesia.SSB2.BHT.s_fil 41.28 85.22
19920928A.taiwan.ANMO.BHT.s_fil 53.51 -178.81
19920928A.taiwan.CCM.BHT.s_fil 63.50 -178.15
19921017A.colombia.ARU.BHT.s_fil 53.12 -43.83
19921017A.colombia.CTAO.BHT.s_fil -17.48 -141.20
19921017A.colombia.DRV.BHT.s_fil -48.10 -96.09
19921017A.colombia.GUMO.BHT.s_fil 26.92 -144.33
19921017A.colombia.NVS.BHT.s_fil 62.25 -53.23
19921017A.colombia.TATO.BHT.s_fil 59.97 -141.80
19921017A.colombia.TLY.BHT.s_fil 67.57 -77.44
19921017A.vanuatu.ECH.BHT.s_fil 48.41 136.48
19921017A.vanuatu.SPR.BHT.s_fil 12.47 -151.35
19921017A.vanuatu.TAM.BHT.s_fil 12.55 92.44
19921022A.newzealand.ALE.BHT.s_fil 30.87 -168.72
19921022A.newzealand.GRA1.BHT.s_fil 47.01 160.58
19921022A.newzealand.KONO.BHT.s_fil 44.49 173.86
19921022A.newzealand.SSB.BHT.s_fil 52.06 176.17
19921023A.savu.ANMO.BHT.s_fil 28.05 176.52
19921024A.newzealand.AQU.BHT.s_fil 42.01 138.73
19921024A.newzealand.KONO.BHT.s_fil 44.64 173.21
19921024A.newzealand.OBN.BHT.s_fil 32.67 143.70
19921024A.newzealand.SUR.BHT.s_fil -75.23 107.01
19921024A.newzealand.TAM.BHT.s_fil -57.11 44.59
19921031A.newguinea.CCM.BHT.s_fil 35.27 -168.62
19921031A.newguinea.HRV.BHT.s_fil 48.99 -172.41
19921031A.newguinea.PAS.BHT.s_fil 23.85 -175.02
19921031A.newguinea.PFO.BHT.s_fil 23.86 -174.14
19921031A.newguinea.TAM.BHT.s_fil 25.42 79.11
19921105A.png.CACB.BHT.s_fil -54.38 -138.67
19921105A.png.RIFB.BHT.s_fil -51.76 -136.94
19921106A.aegean.PAS.BHT.s_fil 67.62 -50.11
19921108A.fiji.AQU.BHT.s_fil 53.73 145.65
19921108A.fiji.ARU.BHT.s_fil 34.41 145.30
19921108A.fiji.BGY.BHT.s_fil 48.37 140.71
19921108A.fiji.CACB.BHT.s_fil -40.31 -115.57
19921108A.fiji.ECH.BHT.s_fil 56.70 165.44
19921108A.fiji.HRV.BHT.s_fil 21.74 -136.03
19921108A.fiji.NVS.BHT.s_fil 27.27 147.65
19921108A.fiji.OBN.BHT.s_fil 42.21 146.28
19921108A.fiji.RIFB.BHT.s_fil -38.57 -115.22
19921108A.fiji.WUS.BHT.s_fil 19.36 138.23
19921121A.southsandwich.ALE.BHT.s_fil 13.30 -32.89
19921121A.southsandwich.ANMO.BHT.s_fil -13.91 -75.72
19921121A.southsandwich.CHTO.BHT.s_fil -33.54 63.38
19921121A.southsandwich.COL.BHT.s_fil 8.20 -73.96
19921121A.southsandwich.DBQ.BHT.s_fil -11.36 -75.54
19921121A.southsandwich.ERM.BHT.s_fil -36.24 116.47
19921121A.southsandwich.MON.BHT.s_fil -11.80 -75.66
19921121A.southsandwich.TATO.BHT.s_fil -37.92 87.81
19921121A.southsandwich.YSS.BHT.s_fil -30.47 106.27
19921128A.chile.CAN.BHT.s_fil -61.91 -137.90
19921128A.chile.CTAO.BHT.s_fil -55.51 -150.57
19921128A.chile.ERM.BHT.s_fil 16.89 -131.95
19921128A.chile.INU.BHT.s_fil 8.03 -142.30
19921128A.chile.MAJO.BHT.s_fil 9.94 -140.33
19921201A.vanuatu.HRV.BHT.s_fil 20.31 -142.61
19921218A.png.CDCB.BHT.s_fil -65.69 -144.37
19921218A.png.ECH.BHT.s_fil 44.33 105.71
19921231A.kermadec.DPC.BHT.s_fil 40.53 147.23
19921231A.kermadec.ECH.BHT.s_fil 47.90 163.63
19921231A.kermadec.GRA1.BHT.s_fil 44.69 155.34
19921231A.kermadec.KONO.BHT.s_fil 43.18 170.92
19921231A.kermadec.LVZ.BHT.s_fil 34.77 160.96
19921231A.kermadec.OBN.BHT.s_fil 30.10 141.13
19921231A.kermadec.SSB.BHT.s_fil 50.46 169.40
19930113A.india.ANMO.BHT.s_fil -14.15 -152.18
19930113A.india.AQU.BHT.s_fil -9.22 67.66
19930113A.india.BGY.BHT.s_fil -5.93 74.34
19930113A.india.CMB.BHT.s_fil -9.86 -162.97
19930113A.india.GSC.BHT.s_fil -12.33 -159.44
19930113A.india.HRV.BHT.s_fil -14.75 -130.47
19930113A.india.ISA.BHT.s_fil -11.85 -160.69
19930113A.india.LVZ.BHT.s_fil 13.12 105.26
19930113A.india.NRIL.BHT.s_fil 10.20 121.74
19930113A.india.PAB.BHT.s_fil -16.98 50.59
19930113A.india.PAS.BHT.s_fil -13.03 -159.87
19930113A.india.PFO.BHT.s_fil -13.66 -158.50
19930113A.india.SSB.BHT.s_fil -7.20 64.56
19930113A.india.TAM.BHT.s_fil -30.33 48.75
19930113A.india.TUC.BHT.s_fil -15.55 -154.03
19930113A.india.UNM.BHT.s_fil -28.54 -140.42
19930120A.banda.ANMO.BHT.s_fil 27.71 -179.35
19930120A.banda.CCM.BHT.s_fil 37.65 -179.01
19930120A.banda.CDCB.BHT.s_fil -75.14 67.70
19930120A.banda.CMB.BHT.s_fil 25.63 174.54
19930120A.banda.COR.BHT.s_fil 29.30 169.82
19930120A.banda.ECH.BHT.s_fil 35.79 87.26
19930120A.banda.KONO.BHT.s_fil 40.31 98.06
19930120A.banda.PAS.BHT.s_fil 23.31 177.33
19930120A.banda.PFO.BHT.s_fil 23.36 178.21
19930120A.banda.SSB.BHT.s_fil 34.99 84.41
19930120A.indonesia.HRV.BHT.s_fil 67.05 71.26
19930207A.japan.CDCB.BHT.s_fil 60.60 -55.51
19930213A.fiji.DPC.BHT.s_fil 53.70 160.26
19930213A.fiji.HRV.BHT.s_fil 21.60 -134.32
19930213A.fiji.LVZ.BHT.s_fil 44.60 166.21
