file,410pred,410err,410amp,410qual
19931005A.banda.A13.BHT,-146.835787295,0.10065075542199999,0.122815293984,0.6
19931005A.banda.A14.BHT,-147.07067681200002,0.125699449536,0.14618574457699998,0.64
19931005A.banda.A19.BHT,-146.762419839,0.186024647604,0.137912151018,0.6075
19931005A.banda.A21.BHT,-145.951412974,0.217786463153,0.140717411887,0.6625
19931005A.banda.A22.BHT,-146.513649742,0.27509794800799997,0.130200207335,0.625
19931005A.banda.CMB.BHT,-152.80676398,0.117200243873,0.194310796098,0.6775
19931005A.banda.COR.BHT,-144.864787296,0.0941776533536,0.117883609563,0.645
19931013A.png.FURB.BHT,-166.879334682,0.24510737670000002,0.07110573376630001,0.8275
19931013A.png.PAB.BHT,-166.480494604,0.20687573782299998,0.150184006808,0.8675
19931024A.mexico.BOSA.BHT,-153.57895724,0.0842475143564,0.0659520929578,0.8175
19931024A.mexico.LBTB.BHT,-159.347159144,0.160644311244,0.07684530568,0.9
19931025A.png.FURB.BHT,-165.178163498,0.0621451692406,0.0958375385929,0.6425
19931025A.png.KEV.BHT,-158.716767056,0.32356249424600003,0.217812481493,0.8375
19931105A.bismarck.LPAZ.BHT,-157.046515049,0.124921371964,0.126363075227,0.85
19931113A.kamchatka.FURB.BHT,-152.591088355,0.12278030864,0.0898175292612,0.795
19931216A.aleutian.SYO.BHT,-163.409650493,0.114086524844,0.11338256443499999,0.6125
19940103A.auckland.KIV.BHT,-157.904416812,0.231130924608,0.157689289937,0.91
19940215A.loyalty.ABKT.BHT,-165.81101550399998,0.11193742499000002,0.127197283657,0.81
19940216A.vanuatu.FRMB.BHT,-157.785200951,0.12431387549799999,0.13907454586200002,0.6275
19940223A.iran.CMB.BHT,-156.82931439,0.329635235069,0.189809770423,0.6025
19940405A.aleutian.TRIB.BHT,-160.40201108600002,0.101955903979,0.122487725989,0.6
19940408A.japan.NNA.BHT,-164.038979493,0.209264234031,0.241102644026,0.665
19940518A.kuril.DRV.BHT,-148.719373263,0.127126447365,0.195142812653,0.8975
19940523A.taiwan.LPAZ.BHT,-150.21601620299998,0.127484881021,0.0894056773313,0.64
19940525A.indonesia.GSC.BHT,-154.723721123,0.0933513780655,0.212164174882,0.78
19940529A.myanmar.ANMO.BHT,-154.541584707,0.157810375295,0.167162376528,0.7525
19940605A.taiwan.CCM.BHT,-162.801557239,0.09850419681700001,0.151655801806,0.615
19940606A.colombia.ARU.BHT,-158.46494736,0.264009389116,0.118152578965,0.7475
19940606A.colombia.BB14.BHT,-164.913401192,0.16002795195299999,0.08197080168069999,0.705
19940606A.colombia.DRV.BHT,-153.608607926,0.10702512462899999,0.15357148080900002,0.8425
19940606A.colombia.MAJO.BHT,-154.956715134,0.08021093656360001,0.167314546836,0.66
19940606A.colombia.NRIL.BHT,-145.507384731,0.153454783204,0.199220026416,0.79
19940618A.newzealand.HRV.BHT,-150.079549466,0.13878483679300002,0.0546431186883,0.6925
19940618A.newzealand.KOND.BHT,-152.801155175,0.16945426515700002,0.10730334736500001,0.92
19940618A.newzealand.MBWE.BHT,-155.595078956,0.111957289954,0.140587207553,0.7
19940618A.newzealand.MTOR.BHT,-150.66977209200002,0.133478194532,0.100216762093,0.6225
19940618A.newzealand.PAND.BHT,-147.64735313100002,0.135905081274,0.151180451696,0.8175
19940618A.newzealand.SING.BHT,-155.675649335,0.09876172380519999,0.130386770844,0.735
19940618A.newzealand.TARA.BHT,-158.05008875,0.12227745942399999,0.188306868277,0.7125
19940618A.newzealand.YAK.BHT,-144.437363504,0.0876998190261,0.19291768375399998,0.9025
19940704A.mexico.ARU.BHT,-148.726056863,0.17807725469,0.190390450284,0.675
19940724A.vanuatu.EKS2.BHT,-157.166182682,0.148586521273,0.229570445964,0.7725
19940724A.vanuatu.ESK.BHT,-157.85411808799998,0.743387570246,0.193340716256,0.6175
19940724A.vanuatu.FRB.BHT,-150.47361624299998,0.25826186445099997,0.08945788440460001,0.7425
19940724A.vanuatu.PARB.BHT,-165.664018166,0.337865919448,0.148078473786,0.6725
19940724A.vanuatu.RIFB.BHT,-163.206660722,0.349878412719,0.169742501418,0.6375
19940804A.indonesia.KEV.BHT,-161.29273352299998,0.22458801182799998,0.0900983038754,0.7725
19940818A.kuril.CACB.BHT,-158.76745109200002,0.31745047159699996,0.12443800851299999,0.825
19940818A.kuril.COLL.BHT,-147.17148248700002,0.10966686873199999,0.183363854073,0.63
19940818A.kuril.DOOR.BHT,-155.335232408,0.168731663946,0.165558592543,0.6725
19940818A.kuril.SALI.BHT,-148.131046927,0.0748688131888,0.12174938087500001,0.6175
19940820A.kuril.DRV.BHT,-147.441220998,0.15655993599999998,0.120953794037,0.6575
19940820A.kuril.ROSL.BHT,-164.46128216600002,0.137123471322,0.196631764921,0.6725
19940820A.kuril.RUNG.BHT,-158.61441895299998,0.250331245719,0.30351705524,0.745
19940828A.kuril.IBIB.BHT,-160.735870078,0.213208886206,0.117380305778,0.6025
19940828A.kuril.SCHO.BHT,-165.540122641,0.11464542052200001,0.10660573527999999,0.7375
19940828A.kuril.SDV.BHT,-147.22021570799998,0.28556938407,0.132315896998,0.92
19940828A.kuril.SYO.BHT,-161.802307014,0.117064657377,0.112649784605,0.885
19940828A.kuril.TUND.BHT,-148.84241433,0.101365689803,0.10545019028699999,0.7575
19940903A.vanuatu.BGIO.BHT,-163.590498873,0.369718262825,0.0930457562733,0.605
19940903A.vanuatu.BRVK.BHT,-158.447867509,0.360271445269,0.0999196391198,0.6
19940903A.vanuatu.ZRN.BHT,-148.974047243,0.132841189808,0.062316329276099994,0.6675
19940912A.california.BB10.BHT,-157.014327027,0.134498206262,0.372040121986,0.6475
19940913A.colombia.NRIL.BHT,-153.30003237100001,0.11335639091600001,0.22404904026500003,0.71
19940913A.colombia.PUGE.BHT,-147.90756866,0.130226688082,0.235576197115,0.9525
19940913A.colombia.TLY.BHT,-149.883918052,0.28447250421,0.118678611797,0.6275
19940913A.japan.OLIB.BHT,-160.828559551,0.11763838243699999,0.283873749629,0.755
19941001A.vanuatu.KUR.BHT,-147.530176899,0.19182650474800003,0.115219891395,0.7925
19941001A.vanuatu.RIFB.BHT,-159.005830113,0.143173733477,0.168865715918,0.6025
19941008A.indonesia.PPDB.BHT,-159.259894529,0.266883004734,0.125242223058,0.7
19941013A.indonesia.RIFB.BHT,-161.058781556,0.135861614888,0.117862799736,0.625
19941013A.indonesia.TSUM.BHT,-150.135352733,0.187037963738,0.14935782322399999,0.815
19941015A.png.TRIB.BHT,-160.85151372200002,0.0793019092156,0.22779176607299997,0.6725
19941031A.indonesia.SJG.BHT,-164.666273405,0.33780825190499997,0.20632012573,0.675
19941114A.philippine.CMB.BHT,-147.68293953399998,0.208769552205,0.147496341098,0.8275
19941114A.philippine.DGR.BHT,-148.411691589,0.285595018149,0.189620653028,0.925
19941114A.philippine.PFO.BHT,-149.387418373,0.0959806621837,0.117594311349,0.6025
19941114A.philippine.VTV.BHT,-146.573050286,0.120909908686,0.190862859543,0.6775
19941114A.philippine.YUNZ.BHT,-164.84110472700002,0.15488675515,0.179317592364,0.7175
19941120A.indonesia.AGVB.BHT,-160.522546748,0.22560851631700002,0.207366129014,0.8675
19941120A.indonesia.CCM.BHT,-167.619640807,0.155875804446,0.1373807307,0.7375
19941120A.indonesia.SDV.BHT,-151.774626646,0.203115884036,0.123726753796,0.855
19941120A.indonesia.SJG.BHT,-167.094852851,0.188525880368,0.149290190417,0.6275
19941215A.newzealand.BGIO.BHT,-158.885044545,0.131684148012,0.15651165278100002,0.6325
19941215A.newzealand.BOSA.BHT,-167.06771810200001,0.12233006797599999,0.312473375025,0.685
19941215A.newzealand.BRVK.BHT,-166.542434688,0.0723648378267,0.187241548872,0.68
19950101A.japan.NNA.BHT,-163.976801787,0.165029329821,0.21626659905,0.8
19950101A.japan.RIFB.BHT,-158.272263511,0.151004168683,0.055836822339500006,0.7625
19950101A.japan.SING.BHT,-159.851366716,0.19950145917,0.170459513645,0.9175
19950101A.japan.SPA.BHT,-156.73586642,0.273374391767,0.109247421704,0.7275
19950116A.honshu.CRZF.BHT,-152.413953809,0.136282236569,0.129716335624,0.6925
19950116A.honshu.TRIB.BHT,-154.344571113,0.0986765931868,0.127606099867,0.635
19950127A.indonesia.AGVB.BHT,-162.504688542,0.160858820348,0.08140963655899999,0.6425
19950127A.indonesia.MDT.BHT,-157.229111564,0.04757166966580001,0.10119037241699999,0.605
19950127A.indonesia.SSB.BHT,-157.215628879,0.114852271586,0.325820726367,0.7125
19950203A.balleny.BJT.BHT,-150.318165192,0.29516758664299997,0.0565615225139,0.9525
19950203A.balleny.TKM2.BHT,-156.095038691,0.11424481253900001,0.13948542150999999,0.81
19950203A.balleny.ZRN.BHT,-166.9084795,0.170949685669,0.0931338142043,0.6375
19950205A.newzealand.KONO.BHT,-158.77111749899998,0.138181875461,0.121358614835,0.8825
19950205A.newzealand.MBC.BHT,-147.94008502399998,0.22055045982700003,0.177821858105,0.735
19950205A.newzealand.TARA.BHT,-156.33861080399998,0.12749640804600001,0.148767978029,0.6725
19950205A.panama.HIA.BHT,-151.845050673,0.068001048521,0.0977713322917,0.6275
19950205A.panama.MITU.BHT,-151.23201699999998,0.122049686411,0.112075655895,0.755
19950219A.california.AMBA.BHT,-154.398248587,0.149848331512,0.138219043028,0.7475
19950219A.california.BGCA.BHT,-157.077809863,0.0964511772669,0.164134281111,0.7925
19950219A.california.KIBA.BHT,-159.478743922,0.076249169275,0.063301061059,0.7675
19950219A.california.MBWE.BHT,-155.839732887,0.0636251115048,0.040315306003800004,0.665
19950219A.california.MITU.BHT,-151.311633166,0.19206146703,0.04495463937580001,0.8425
19950219A.california.PSI.BHT,-150.365951207,0.0797077462225,0.12244064454800001,0.9375
19950219A.california.SING.BHT,-157.334094514,0.107934107092,0.07072826627289999,0.7125
19950221A.kuril.SJG.BHT,-152.407174834,0.0927832941011,0.357334942432,0.685
19950319A.indonesia.ANMO.BHT,-155.154798634,0.148676306305,0.127180076211,0.7275
19950319A.indonesia.HRV.BHT,-152.99733303,0.216605766485,0.15373935224500002,0.6
19950319B.indonesia.ANMO.BHT,-152.22698059299998,0.0972708297234,0.129218323255,0.79
19950319B.indonesia.DSB.BHT,-166.046277054,0.20351125836599998,0.0715569697264,0.6725
19950319B.indonesia.IBIB.BHT,-164.4476763,0.07796077348399999,0.132116947276,0.625
19950319B.indonesia.KONO.BHT,-153.494596254,0.11495512871300001,0.16687573564000002,0.7975
19950319B.indonesia.PICH.BHT,-148.85695687700002,0.055293905332300004,0.18660669837299998,0.72
19950319B.indonesia.ROSL.BHT,-151.29745833,0.21382319252700002,0.08526469086039999,0.7975
19950326A.southsandwich.ABKT.BHT,-156.91110960700001,0.23547249434300002,0.139249580271,0.625
19950326A.southsandwich.BRVK.BHT,-151.72682687,0.146712413031,0.024722350885099997,0.615
19950414A.southsandwich.ALE.BHT,-162.480640327,0.535390420422,0.0347477480189,0.7
19950414A.southsandwich.CMB.BHT,-158.67991368100002,0.0932618200522,0.0512975961565,0.635
19950414A.southsandwich.HNR.BHT,-154.386766518,0.267178456773,0.108104251404,0.6925
19950414A.southsandwich.PAS.BHT,-149.865941017,0.34610946426100003,0.057556523369399995,0.6025
19950417A.atlantic.BJT.BHT,-148.888390157,0.169146993085,0.0705329177767,0.695
19950417A.atlantic.INU.BHT,-160.638401937,0.195045515867,0.150199094415,0.8125
19950421A.philippine.PAL.BHT,-161.157952116,0.286857185171,0.10191625475800001,0.6775
19950421A.philippine.SPA.BHT,-151.352494585,0.102648784734,0.25935889991300004,0.675
19950514A.indonesia.PAS.BHT,-161.226009606,0.209392033302,0.2505286546,0.6725
19950517A.loyalty.MAK.BHT,-149.535361338,0.167801923079,0.09401767052650001,0.7475
19950518A.atlantic.CAN.BHT,-157.328196903,0.105886922977,0.0593590758716,0.6475
19950518A.atlantic.CHTO.BHT,-161.531537948,0.11359612692700001,0.100078068343,0.69
19950518A.atlantic.CTAO.BHT,-156.88959326,0.0854315099644,0.0800325844883,0.7725
19950518A.atlantic.DRV.BHT,-148.030939974,0.137273328396,0.09636611605350001,0.8025
19950518A.atlantic.PMG.BHT,-164.335882357,0.211892857788,0.0998204083296,0.9025
