file,410time,410error,410quality,660time,660error,660quality
19970422A.windward.ERM.BHT,-156.2823377666229,0.3656926677946274,0.66,-228.67090459171934,0.13312003698716102,0.71
19970428A.princeedward.OGS.BHT,-158.9788238784541,0.2261702810850363,0.61,-213.9650643260603,0.3289406108643514,0.89
19970501A.mexico.DRV.BHT,-146.5313796461653,0.21496038790171265,0.845,-221.5597778810684,0.2428661489707644,0.61
19970501A.mexico.SA11.BHT,-158.64042335591938,0.10650236127391492,0.805,-231.84097100644675,0.07742096300878094,0.8925
19970501A.mexico.SA16.BHT,-159.2325247514117,0.0524861857489753,0.6075,-228.98831761104682,0.0802925250123897,0.8575
19970501A.mexico.SA22.BHT,-158.52436812476827,0.07797763899665379,0.695,-231.89761300334808,0.12750289959453145,0.805
19970501A.mexico.SA29.BHT,-160.44439252775592,0.11988881592172225,0.75,-234.14538036260453,0.19714783618112192,0.8825
19970501A.mexico.SA76.BHT,-156.7867540037924,0.11664872796258945,0.735,-238.4737117609737,0.12165372650157776,0.6525
19970503A.kermadec.HRV.BHT,-158.07421629635337,0.11035111609909658,0.8575,-229.61765311534145,0.14412593535422208,0.775
19970511A.chile.ERM.BHT,-157.12185524706362,0.1829604903648998,0.645,-231.87516879845,0.125886562139243,0.76
19970511A.chile.MBC.BHT,-148.98639406047252,0.21949118529233608,0.82,-215.8933310714401,0.13044341238864207,0.6125
19970511A.chile.NRIL.BHT,-164.717210236058,0.1347641740047347,0.6275,-237.78786731988453,0.19497987741094147,0.7875
19970521A.vanuatu.SA37.BHT,-155.81126190837966,0.09775095278877194,0.615,-234.66488224348828,0.09307013050747392,0.68
19970527A.pacific.KBS.BHT,-163.97897868298224,0.24047046361380195,0.755,-234.97950310804316,0.14369057212063255,0.78
19970527A.pacific.SFUC.BHT,-159.87560266662206,0.1262377945110861,0.675,-236.57956393414642,0.3001080260336973,0.6375
19970529A.easterisland.KURK.BHT,-168.536421460695,0.19640612483099784,0.7025,-244.39604719206196,0.11526820393233522,0.6175
19970529A.easterisland.SA63.BHT,-147.07388425873518,0.07222391249876914,0.63,-222.70478658857414,0.21744666251715167,0.7225
19970610A.pacific.MLR.BHT,-154.773460972537,0.08293398945766875,0.9025,-230.02465593242653,0.17142181718589555,0.805
19970610A.pacific.OBN.BHT,-161.56595930277456,0.1981760430428764,0.835,-237.65999391140042,0.1019881877470228,0.705
19970610A.pacific.WLF.BHT,-152.1420280257093,0.13454373841458953,0.7775,-230.04459586293967,0.10340450131234273,0.6625
19970626A.pacific.ALE.BHT,-158.4706963797999,0.147051573444764,0.64,-237.0144012425114,0.17251408376441546,0.6925
19970626A.pacific.MDJ.BHT,-160.38571260160194,0.13585025469228176,0.785,-238.19803504094207,0.08864955039023688,0.6175
19970709A.venezuela.CASY.BHT,-154.81276556070088,0.09488901318290358,0.92,-228.51900423766185,0.10287037639157026,0.61
19970709A.venezuela.HIA.BHT,-151.56820622290837,0.17345485164728838,0.9175,-223.38034115152308,0.09271585062403008,0.6625
19970810A.australia.S137.BHT,-157.8369587611898,0.08172640636959508,0.605,-227.5401852576096,0.06994129724852187,0.66
19970810A.australia.S139.BHT,-156.76692598696934,0.041271453894866784,0.64,-226.71076116484198,0.09465971092074234,0.6925
19970820A.sumatera.LIME.BHT,-159.76069469938474,0.23490165134896,0.86,-224.26084592098744,0.1559546589091282,0.6275
19970829A.tonga.BDFB.BHT,-160.16604073090235,0.11873114274564095,0.955,-226.21666129053963,0.10267126067158576,0.6725
19970903A.pacific.HIA.BHT,-161.85648357537931,0.2325430227927385,0.91,-236.02569640920692,0.08474471922518009,0.9225
19970903A.pacific.KBS.BHT,-164.54070089913284,0.11732754186791786,0.7825,-233.59258278569652,0.1698157050092019,0.8525
19970903A.pacific.KIEV.BHT,-162.42370806081658,0.11854420638577524,0.8375,-241.08167386663075,0.2727136248757983,0.8525
19970903A.pacific.MORC.BHT,-165.90685857523908,0.12133967173614076,0.8775,-241.8365805514805,0.2664150657889089,0.7525
19970920A.kermadec.TSUM.BHT,-153.27915273152024,0.13610734592487367,0.605,-235.5915120634549,0.16286884307290928,0.8375
19971125A.minahassa.CII.BHT,-145.10772576145183,0.2942486638345327,0.9025,-223.73236362938675,0.1481667678962986,0.935
19980110A.guatemala.BOSA.BHT,-157.37296293814956,0.08023131989760827,0.6575,-225.02375264265487,0.13770896704078844,0.875
19980110A.guatemala.SA18.BHT,-150.4220953325397,0.10204677171558887,0.735,-221.6181341297372,0.13174026084457205,0.6675
19980110A.guatemala.SA23.BHT,-149.55352630245346,0.10585801116065467,0.625,-220.3001292318801,0.15848185072928742,0.83
19980110A.guatemala.SA25.BHT,-153.69979621891497,0.09637446012261673,0.71,-222.84690731066428,0.09206596512473723,0.6925
19980110A.guatemala.SA37.BHT,-153.26860261161028,0.16157056585940038,0.6475,-224.74182838257173,0.06985454038080215,0.8
19980112A.fiji.ISP.BHT,-157.9775705158678,0.11871404039382105,0.65,-232.45081660377997,0.09331282940274292,0.6375
19980112A.fiji.STU.BHT,-160.77003392213845,0.12680582984837618,0.665,-239.5887340989849,0.18330708209511626,0.74
19980114A.fiji.KONO.BHT,-160.27627034595474,0.13858290857608366,0.715,-233.0502999658392,0.2017841374788608,0.905
19980114A.fiji.STU.BHT,-156.90260353443188,0.20519905498324426,0.7175,-233.44816063243817,0.2266180977424413,0.89
19980119A.chile.EIL.BHT,-152.44082090593656,0.09776585069917668,0.8375,-225.645979987936,0.11428497060153806,0.8775
19980119A.chile.ISP.BHT,-156.46530409079344,0.16696304373447085,0.72,-230.5296317059128,0.06041792957052621,0.7275
19980119A.chile.YAK.BHT,-169.12524446317732,0.1360737415070802,0.68,-241.67622895963729,0.1491542041934158,0.85
19980320A.auckland.BGCA.BHT,-151.59220574877145,0.22176355565330536,0.6875,-221.38899849828042,0.10624778252359696,0.63
19980320A.auckland.DSB.BHT,-161.9111476649576,0.21936215766947328,0.7475,-249.37201975982768,0.17640776277124784,0.635
