file,time,error,quality
52.5_248.20,-155.342206095,0.0973044399938,0.7125
52.5_260.61,-158.014089926,0.11413620865900001,0.6225
52.5_273.02,-158.175759977,0.11011207772199999,0.69
52.5_285.43,-157.958167914,0.162964906804,0.9
52.5_310.25,-153.178517654,0.130081314403,0.925
52.5_322.66,-153.786045459,0.11905925449100001,0.765
52.5_335.07,-154.672050512,0.112291259639,0.905
52.5_347.48,-153.435200945,0.0851351037085,0.73
52.5_37.23,-153.648620409,0.08110521121969999,0.6525
52.5_62.05,-155.799983367,0.221579245064,0.945
52.5_74.46,-157.479399228,0.0825371225235,0.6375
52.5_86.87,-157.81346489700002,0.0441052162248,0.6275
60.0_0,-153.90062955,0.05875967732480001,0.6675
60.0_105.00,-153.909040793,0.124841037451,0.8
60.0_120.00,-155.423823255,0.10577131444,0.9325
60.0_135.00,-156.513559524,0.12145943807800001,0.785
60.0_15.00,-154.614338469,0.134305717806,0.9375
60.0_150.00,-156.430727705,0.061327334761300006,0.66
60.0_165.00,-155.029320239,0.13072672974000002,0.91
60.0_180.00,-154.49910840799998,0.0904376265184,0.9075
60.0_195.00,-156.021873544,0.156616900797,0.835
60.0_210.00,-157.618249633,0.111364834049,0.9925
60.0_225.00,-157.032783125,0.101218456275,0.9725
60.0_240.00,-157.58741774,0.0856444430511,0.755
60.0_255.00,-157.808409138,0.0350197373913,0.66
60.0_270.00,-157.60425274,0.040553282881699994,0.64
60.0_285.00,-157.013939442,0.0540419425697,0.625
60.0_30.00,-154.045202557,0.17623263813999998,0.78
60.0_300.00,-154.079211369,0.226902308119,0.855
60.0_315.00,-154.770765229,0.133467613713,0.9725
60.0_330.00,-154.49577038299998,0.13394572839299998,0.8725
60.0_345.00,-154.34242559700002,0.058476146526699996,0.615
60.0_45.00,-153.76853837299998,0.0503190985372,0.6125
60.0_60.00,-155.395954913,0.148077570021,0.85
60.0_75.00,-155.479499801,0.14780390078199998,0.9625
60.0_90.00,-154.997730964,0.164446338025,0.9225
67.5_0,-153.80626953,0.0656371920291,0.6825
67.5_100.00,-155.37274762,0.228840238007,1.055
67.5_120.00,-155.478326022,0.190627379595,1.0175
67.5_140.00,-155.906167206,0.11827814012299999,0.9325
67.5_160.00,-156.555311176,0.08351180206349999,0.8975
67.5_180.00,-155.65969889,0.105803133517,0.865
