file,lat,lon,660pred,660err,660amp,660qual
19950203A.balleny.KIEV.BHT,50.7011985779,29.224199295,-227.333128456,0.123327422059,0.163433525957,0.68
19950203A.balleny.TLG.BHT,43.233001709,77.2249984741,-225.008021958,0.117181861755,0.199078268482,0.6525
19950205A.newzealand.HRV.BHT,42.506401062,-71.5582962036,-226.23619289,0.09575309606460002,0.18802437333099997,0.72
19950205A.newzealand.KIBE.BHT,-5.37750005722,37.4762992859,-232.792398266,0.17663716802499999,0.140613534903,0.685
19950205A.newzealand.MBC.BHT,76.2416992188,-119.36000061,-230.95354771700002,0.12785933617999998,0.0685826634574,0.685
19950219A.california.AMBA.BHT,-8.10599994659,33.2588005066,-230.40729560900002,0.14734152306,0.0845571862854,0.7375
19950219A.california.ASCN.BHT,-7.93270015717,-14.3600997925,-230.412873717,0.133886794596,0.175769951989,0.7525
19950219A.california.MITU.BHT,-6.01919984818,34.0559997559,-229.649818483,0.09245783188449999,0.0401164788006,0.675
19950219A.california.RUNG.BHT,-6.93720006943,33.5180015564,-227.394733272,0.06620970711,0.0623142660819,0.7025
19950219A.california.URAM.BHT,-5.08780002594,32.0831985474,-230.405431754,0.16156068376,0.0691198073801,0.7875
19950319A.indonesia.LSZ.BHT,-15.2778997421,28.1881999969,-223.265779918,0.15608819886199998,0.21833504647500002,0.95
19950319B.indonesia.CHUQ.BHT,-17.9452991486,-67.8180007935,-228.976395845,0.140370394191,0.10376351241000001,0.6475
19950319B.indonesia.MM11.BHT,40.2214012146,-83.1947021484,-229.886135105,0.139022297128,0.153219438705,0.7725
19950319B.indonesia.PLCA.BHT,-40.7327690125,-70.5508270264,-224.48648065900002,0.09372547401889998,0.0762038684611,0.735
19950319B.indonesia.WLF.BHT,49.6646003723,6.15259981155,-227.78402079,0.0882618778159,0.11705651549900001,0.6525
19950326A.southsandwich.AAK.BHT,42.6375007629,74.4942016602,-227.298235532,0.14973261476,0.061460891468900006,0.68
19950414A.southsandwich.ANMO.BHT,34.9458999634,-106.457199097,-223.42414049599998,0.120118504198,0.07471288291289999,0.6575
19950414A.southsandwich.BRVK.BHT,53.0581016541,70.2827987671,-224.77304105099998,0.085096829407,0.192135207465,0.6775
19950414A.southsandwich.WUS.BHT,41.1990013123,79.2180023193,-224.861870849,0.13677863639,0.0711545167924,0.6175
19950421A.philippine.PAL.BHT,41.0055999756,-73.9078979492,-231.174769335,0.10620491338400001,0.138705117318,0.74
19950421A.philippine.SPA.BHT,-89.9953994751,115.0,-232.79619647400003,0.170000608444,0.166228002797,0.7875
19950505A.philippine.CCM.BHT,38.0556983948,-91.2445983887,-223.553231949,0.0859671522151,0.116341497683,0.755
19950505A.philippine.PAL.BHT,41.0055999756,-73.9078979492,-229.70943236099998,0.0667632832566,0.14905486495,0.71
19950514A.indonesia.CCM.BHT,38.0556983948,-91.2445983887,-230.440534935,0.121219545093,0.17591054754299998,0.615
19950517A.loyalty.KEV.BHT,69.7565002441,27.0034999847,-227.021938568,0.12093636614,0.120471357281,0.6225
19950518A.atlantic.TAU.BHT,-42.9099006653,147.320404053,-226.04558269700001,0.14787841652,0.052589926963300004,0.7025
19950523A.atlantic.ICAN.BHT,37.5048828125,-121.327774048,-233.64943382799999,0.17984774442600002,0.0772472987719,0.7975
19950529A.santacruz.SCHO.BHT,-19.1480007172,-64.6427993774,-225.76046674900002,0.15810326701,0.23038524842099997,0.85
19950621A.balleny.AAK.BHT,42.6333007812,74.4944000244,-228.720956127,0.108663776458,0.138175104724,0.7125
19950621A.balleny.BGIO.BHT,31.7219009399,35.0876998901,-233.34170195599998,0.119365596548,0.034486936748099994,0.61
19950621A.balleny.CCM.BHT,38.0556983948,-91.2445983887,-232.77474308,0.09806570598089999,0.102444272532,0.68
19950621A.balleny.ICAN.BHT,37.5048828125,-121.327774048,-233.921252236,0.232474349696,0.056933440792199995,0.6275
19950621A.balleny.KZA.BHT,42.0778007507,75.2496032715,-226.765851935,0.0857527564314,0.139086916611,0.855
19950621A.balleny.MDT.BHT,32.8170013428,-4.6139998436,-231.21805528,0.12884258529200002,0.0941798290445,0.6275
19950621A.balleny.PAS.BHT,34.1484413147,-118.171173096,-227.07988352799998,0.083104700563,0.06877060083650001,0.685
19950621A.balleny.TKM2.BHT,42.9207992554,75.5966033936,-230.149807818,0.106984760654,0.106317932914,0.6775
19950621A.balleny.TLG.BHT,43.233001709,77.2249984741,-223.389705905,0.0540388434172,0.11279205853,0.7175
19950630A.california.CHTO.BHT,18.8141002655,98.9442977905,-226.648026415,0.300815626161,0.161940610339,0.89
19950727A.indianocean.ISA.BHT,35.6629981995,-118.473297119,-226.68150206400003,0.26578195387200004,0.14343136167,0.805
19950807A.micronesia.CRUZ.BHT,-19.1033992767,-66.2211990356,-225.729236158,0.228246468403,0.0956329032233,0.6225
19950828A.california.XAN.BHT,34.0312995911,108.923698425,-229.093664306,0.131793677174,0.0838393835806,0.735
19950923A.peru.TKM2.BHT,42.9207992554,75.5966033936,-229.664749863,0.22341885026099997,0.09893041033250001,0.785
19951012A.pacific.AAK.BHT,42.6333007812,74.4944000244,-224.95303852700002,0.105820021132,0.25026987037799997,0.735
19951012A.pacific.INCN.BHT,37.4776000977,126.623901367,-232.19210703,0.408654938092,0.098161513124,0.75
19951013A.macquarie.KBS.BHT,78.915397644,11.9385004044,-226.435082471,0.118210312456,0.19537591917599997,0.65
19951108A.sumatera.PAS.BHT,34.1484413147,-118.171173096,-232.91225478,0.118627635333,0.10278298251,0.68
19951108A.sumatera.PMB.BHT,50.5187988281,-123.076499939,-231.400852498,0.10125859412499999,0.129318142054,0.6325
19951108A.sumatera.SVD.BHT,34.1044998169,-117.097000122,-227.868046052,0.21914128506499997,0.122967440711,0.7975
19951108A.sumatera.VTV.BHT,34.5670013428,-117.333000183,-229.587272993,0.114983434109,0.0653378030132,0.615
19951124A.newzealand.BGCA.BHT,5.17636013031,18.4242191315,-229.90748994400002,0.35349430251,0.0847542121129,0.7425
19951127A.kuril.DRV.BHT,-66.6649093628,140.002075195,-224.028738278,0.164801936173,0.17729423009700002,0.645
19951201A.pacific.LSA.BHT,29.7031002045,91.1269989014,-234.692541713,0.07230596564410001,0.0485766970904,0.74
19951211A.mexico.BGCA.BHT,5.17636013031,18.4242191315,-225.240297109,0.09690660120729999,0.158022356302,0.6625
19951211A.mexico.LBTB.BHT,-25.0151004791,25.5966491699,-231.39975515400002,0.13716217004,0.056246071446599995,0.685
19951219A.indonesia.ECH.BHT,48.2163124084,7.15896081924,-230.43855414900003,0.0960453189931,0.135276143184,0.6725
19960216A.ascension.DENA.BHT,-41.7448997498,171.805282593,-226.04634548400003,0.09143709067839999,0.17753854122999999,0.605
19960218A.ascension.MTCA.BHT,-43.7341995239,170.091293335,-227.961588673,0.169533021503,0.0692800679343,0.815
19960218A.ascension.VNDA.BHT,-77.5172424316,161.852813721,-227.865936177,0.129259021592,0.0697119375402,0.6475
19960225A.mexico.LBTB.BHT,-25.0151004791,25.5966491699,-229.511236072,0.30828170300999996,0.0970950898881,0.6475
19960303A.nicaragua.CTAO.BHT,-20.0881996155,146.254501343,-233.59369616799998,0.2190711157,0.0723518840141,0.69
19960602A.atlantic.BJT.BHT,40.0182991028,116.167900085,-225.853602365,0.25010191637400003,0.126733559688,0.8225
19960602A.atlantic.DOTA.BHT,-45.5299339294,167.273712158,-231.41492962,0.157111086234,0.113271540396,0.6925
19960602A.atlantic.INU.BHT,35.3499984741,137.029006958,-227.30638119099999,0.21830423555999998,0.0545917765409,0.625
19960602A.atlantic.TATO.BHT,24.9734992981,121.49710083,-232.37976442299998,0.08649224059,0.093776869734,0.6575
19960606A.indianridge.PET.BHT,53.0233001709,158.649902344,-225.282978268,0.333062939219,0.0817063213288,0.6275
19960606A.indianridge.PTGA.BHT,-0.730799973011,-59.9665985107,-224.433341785,0.20268906147,0.0547736375894,0.87
19960611A.philippine.ALQN.BHT,45.7390327454,-78.1888427734,-231.146071308,0.10015460263699999,0.109103302256,0.7025
19960611A.philippine.BISC.BHT,46.0272293091,-78.2406616211,-230.510905517,0.100108953845,0.10903159910700001,0.7425
19960611A.philippine.CARO.BHT,47.9152488708,-78.9795684814,-227.23059542200002,0.062011647698300004,0.0850018054338,0.6475
19960611A.philippine.CHAZ.BHT,48.8321914673,-79.052154541,-224.422684375,0.0861986759224,0.11260199578600001,0.6875
19960611A.philippine.DEST.BHT,48.4604454041,-78.9884262085,-225.198158892,0.08504655996810001,0.0966606426871,0.6425
19960611A.philippine.HKT.BHT,29.9617996216,-95.8384017944,-225.309199185,0.137915173967,0.153298618691,0.7675
19960611A.philippine.MADW.BHT,45.5295524597,-78.0041275024,-232.28361612400002,0.0961809525092,0.0606147770739,0.6
19960611A.philippine.NNNN.BHT,49.2908935547,-79.1568527222,-223.930080383,0.0797199742495,0.10220530457499999,0.6625
19960611A.philippine.PAL.BHT,41.0055999756,-73.9078979492,-224.71201906599998,0.0778095861084,0.148119132368,0.7275
19960611A.philippine.PAPL.BHT,45.3191375732,-77.8090057373,-233.59239877599998,0.08375115869310001,0.07847190608860001,0.61
19960611A.philippine.POP10.BHT,46.2904205322,-78.2920532227,-229.50390164400002,0.13119849561799998,0.13145024387499998,0.74
19960611A.philippine.POP6.BHT,46.9490127563,-78.8211364746,-228.682438976,0.06507251591730001,0.09113356384510002,0.6625
19960611A.philippine.POP7.BHT,46.8097076416,-78.6010055542,-229.41850311,0.08594820019339999,0.126380826278,0.66
19960611A.philippine.POP8.BHT,46.6242752075,-78.5783996582,-229.529586195,0.0930650680934,0.133839872471,0.66
19960611A.philippine.POP9.BHT,46.4676094055,-78.4038543701,-228.953223445,0.132535202239,0.140971945673,0.7025
19960611A.philippine.POUL.BHT,48.6327972412,-79.0425796509,-225.55869039700002,0.038732943047800006,0.10103985822999999,0.6375
19960611A.philippine.VBOI.BHT,49.104095459,-79.1440048218,-225.057308155,0.09826418339649999,0.0946636284214,0.6275
19960611A.philippine.VSGL.BHT,49.0115852356,-79.109336853,-224.037054145,0.10988814338,0.0921339044258,0.6625
19960621A.kamchatka.BDFB.BHT,-15.6417598724,-48.0147781372,-230.411265475,0.0794708520148,0.0368495525745,0.7475
19960622A.bouvet.ALQN.BHT,45.7390327454,-78.1888427734,-223.405556872,0.197773120592,0.0435991854065,0.6525
19960622A.bouvet.CARO.BHT,47.9152488708,-78.9795684814,-225.159769987,0.137430848765,0.062395649161,0.745
19960622A.bouvet.DEND.BHT,49.7967720032,-79.0087814331,-224.247516993,0.060498637936300004,0.14977620402,0.6725
19960622A.bouvet.FFC.BHT,54.7249984741,-101.978302002,-233.146874165,0.10710760037799999,0.0539404419706,0.635
19960622A.bouvet.KBS.BHT,78.915397644,11.9385004044,-228.275378018,0.162807056446,0.167661760438,0.935
19960622A.bouvet.POP1.BHT,47.8102531433,-79.1750106812,-224.510392538,0.0925288395959,0.11258179920499999,0.7875
19960622A.bouvet.TSK.BHT,36.2108001709,140.109695435,-234.078339535,0.11512960851,0.10412551361500001,0.88
19960622A.bouvet.VSG4.BHT,49.6274337769,-79.0004882812,-223.78355779,0.134873603885,0.125009401405,0.715
19960622A.bouvet.WHY.BHT,60.6596984863,-134.880599976,-234.447213343,0.315010324141,0.060818406605699996,0.7075
19960715A.mexico.XAN.BHT,34.0312995911,108.923698425,-233.70612804799998,0.105858035743,0.12034392178600001,0.725
19960716A.minahassa.BAR.BHT,32.6800003052,-116.67199707,-226.66912397099998,0.0751522088374,0.17854746370900001,0.8575
19960716A.minahassa.DBIC.BHT,6.67015981674,-4.85656023026,-226.601707132,0.166030034311,0.183219045656,0.6225
19960725A.pacific.KIV.BHT,43.9552993774,42.6862983704,-233.641974417,0.33453824825100004,0.0734151624993,0.6975
19960725A.pacific.POP6.BHT,46.9490127563,-78.8211364746,-227.471810269,0.108363216376,0.0967087865085,0.76
19960725A.pacific.POP7.BHT,46.8097076416,-78.6010055542,-226.34134972099997,0.159954833663,0.152579742929,0.94
19960725A.pacific.VSL.BHT,39.4959983826,9.3780002594,-233.289491847,0.102386473238,0.10368435704199999,0.8275
19960730A.philippine.CARO.BHT,47.9152488708,-78.9795684814,-223.736812799,0.16919365840300002,0.155282315306,0.6775
19960730A.philippine.HRV.BHT,42.506401062,-71.5582962036,-227.37444468599998,0.127902870819,0.0896182037657,0.68
19960802A.solomon.DRLN.BHT,49.2560005188,-57.5041999817,-226.342074824,0.136113787388,0.133282320221,0.9125
19960805A.tonga.TRRB.BHT,-22.1541004181,-43.1954994202,-225.08905208,0.105469226298,0.208306673581,0.6425
19960812A.molucca.POP3.BHT,47.4549179077,-79.179977417,-228.95755772299998,0.211106938618,0.126043493921,0.62
19960812A.molucca.POP7.BHT,46.8097076416,-78.6010055542,-229.54506907200002,0.109722095967,0.153975782961,0.785
19960812A.molucca.POP9.BHT,46.4676094055,-78.4038543701,-229.09025302599997,0.199270425049,0.157075972969,0.835
19960815A.vanuatu.SPB.BHT,-23.5926914215,-47.4269790649,-233.639705325,0.206742679576,0.254836735474,0.8725
19960827A.indianridge.DSB.BHT,53.2452011108,-6.37620019913,-224.871655094,0.12969911026,0.188931540097,0.81
19960905A.easterisland.ECH.BHT,48.2163124084,7.15896081924,-233.525762496,0.0708044696591,0.08936082630210002,0.7075
19960905A.easterisland.MORC.BHT,49.776599884,17.5428009033,-229.91933659,0.157445564239,0.07847960210350001,0.96
19960905A.easterisland.ULN.BHT,47.8651008606,107.053199768,-231.09177586799998,0.211607161153,0.0602553883444,0.7325
19961006A.vancouver.BOSA.BHT,-28.6140995026,25.2555294037,-234.04223638599998,0.20589893901599998,0.0573793449218,0.7475
19961009A.cyprus.CAN.BHT,-35.3187141418,148.996322632,-230.592365205,0.10808550850099999,0.048622393660699995,0.645
19961009A.cyprus.CLIA.BHT,-46.2915992737,169.31350708,-231.667086625,0.17864956344900002,0.14814748301,0.685
19961014A.solomon.CARO.BHT,47.9152488708,-78.9795684814,-224.02127351299998,0.119305606917,0.17681345373799998,0.6175
19961014A.solomon.PAPL.BHT,45.3191375732,-77.8090057373,-225.928200215,0.133646912062,0.178921527514,0.675
19961104A.panama.YSS.BHT,46.9586982727,142.760406494,-234.273854277,0.230885086404,0.174563197621,0.6225
19970117A.ryukyu.PMSA.BHT,-64.7743988037,-64.0488967896,-229.07656628900003,0.267615877207,0.20573843437699998,0.7775
19970204A.iran.CASY.BHT,-66.2791976929,110.535400391,-227.9005215,0.204019350812,0.09150539731969999,0.7975
19970326A.aleutian.PEL.BHT,-33.1459999084,-70.6750030518,-233.477738785,0.101532764617,0.159302939571,0.84
19970402A.windward.CTAO.BHT,-20.0881996155,146.254501343,-234.41214622200002,0.154244612156,0.21365056450599998,0.645
19970422A.windward.ERM.BHT,42.0149993896,143.157196045,-225.081803678,0.175697281099,0.24297458429699997,0.7625
19970501A.mexico.BOSA.BHT,-28.6140995026,25.2555294037,-228.118413375,0.14939609706499998,0.0801953827557,0.69
19970501A.mexico.LBTB.BHT,-25.0151004791,25.5966491699,-233.482764466,0.14694859218800002,0.060419330190900004,0.635
19970501A.mexico.SA11.BHT,-29.9650325775,20.9466362,-227.61144188400002,0.0752056736932,0.10665484068299999,0.89
19970501A.mexico.SA13.BHT,-29.9788398743,23.139585495,-228.735807643,0.201933340286,0.06743055162719999,0.625
19970501A.mexico.SA16.BHT,-28.9503154755,22.1951179504,-224.755898725,0.08552442277410001,0.07806122227369999,0.865
19970501A.mexico.SA22.BHT,-27.9662322998,22.0091171265,-227.62095066900002,0.12109675626800001,0.0720568703285,0.8
19970501A.mexico.SA23.BHT,-27.930431366,23.4046096802,-227.446712109,0.0728986830173,0.0995152597507,0.6675
19970501A.mexico.SA24.BHT,-27.8832874298,24.2364864349,-229.72116117599998,0.0641362455693,0.108150931446,0.6625
19970501A.mexico.SA29.BHT,-26.9317378998,23.0349197388,-230.66197278,0.178743705664,0.0910053867211,0.875
19970501A.mexico.SA30.BHT,-27.07147789,24.1650505066,-229.137238277,0.129996633595,0.0908414680523,0.69
19970501A.mexico.SA31.BHT,-26.9951705933,25.0209102631,-230.25171968200002,0.0643294197077,0.111622012595,0.7
19970501A.mexico.SA38.BHT,-25.9333591461,25.0846271515,-230.596392685,0.0878723355731,0.06822618006350001,0.905
19970501A.mexico.SA39.BHT,-25.8951835632,26.15143013,-232.231775181,0.109490887114,0.0887163857902,0.68
19970501A.mexico.SA45.BHT,-24.8791866302,26.1643753052,-233.969381972,0.10308292007400001,0.0763168370677,0.8325
19970501A.mexico.SA59.BHT,-24.8372650146,24.4640445709,-230.449808622,0.116360728761,0.0817415647553,0.75
19970501A.mexico.SA71.BHT,-20.9257774353,27.1407871246,-233.55661567,0.124919531939,0.0747359557725,0.66
19970501A.mexico.SA75.BHT,-20.8601093292,28.9990711212,-231.49119193599998,0.19622584453400002,0.041758438199,0.6625
19970503A.kermadec.HRV.BHT,42.506401062,-71.5582962036,-226.91731570599998,0.137304611666,0.0626719162748,0.78
19970503A.kermadec.PAL.BHT,41.0055999756,-73.9078979492,-223.41040772099998,0.10830501310799999,0.0643477564461,0.6825
19970511A.chile.ERM.BHT,42.0149993896,143.157196045,-229.13584102299998,0.136526665547,0.0799212747693,0.7475
19970511A.chile.INU.BHT,35.3499984741,137.029006958,-230.196521981,0.10082591745,0.0411302553755,0.6325
19970511A.chile.MDJ.BHT,44.6170005798,129.590805054,-226.083591918,0.172272487802,0.0753318598368,0.6875
19970511A.chile.TSK.BHT,36.2108001709,140.109695435,-233.71766550200002,0.156016840416,0.061565278243,0.8125
19970513A.japan.SA55.BHT,-22.9799766541,28.2981014252,-225.695868487,0.179036275934,0.29025610747499997,0.83
