file,handpick,autopick,quality
19921108A.fiji.CACB.BHT_auto.sac,-9.54,95.00
19921108A.fiji.HRV.BHT_auto.sac,-0.24,93.00
19921108A.fiji.NVS.BHT_auto.sac,-9.59,80.00
19921108A.fiji.OBN.BHT_auto.sac,-0.26,93.00
19921108A.fiji.RIFB.BHT_auto.sac,-9.78,94.00
19921108A.fiji.WUS.BHT_auto.sac,-9.43,90.00
19921121A.southsandwich.ALE.BHT_auto.sac,-0.13,92.00
19921121A.southsandwich.CHTO.BHT_auto.sac,-0.07,80.00
19921121A.southsandwich.COL.BHT_auto.sac,0.05,92.00
19921121A.southsandwich.ERM.BHT_auto.sac,-0.00,94.00
19921128A.chile.CAN.BHT_auto.sac,-9.48,88.00
19921128A.chile.CTAO.BHT_auto.sac,-9.38,94.00
19921128A.chile.ERM.BHT_auto.sac,-9.87,80.00
19921128A.chile.INU.BHT_auto.sac,0.04,70.00
19921128A.chile.MAJO.BHT_auto.sac,-10.23,89.00
19921201A.vanuatu.HRV.BHT_auto.sac,-0.12,93.00
19921218A.png.CDCB.BHT_auto.sac,0.13,95.00
19921218A.png.ECH.BHT_auto.sac,-22.49,96.00
19921231A.kermadec.DPC.BHT_auto.sac,-10.52,81.00
19921231A.kermadec.GRA1.BHT_auto.sac,-11.61,87.00
19921231A.kermadec.KONO.BHT_auto.sac,-11.16,94.00
19921231A.kermadec.LVZ.BHT_auto.sac,-10.65,90.00
19921231A.kermadec.OBN.BHT_auto.sac,-0.30,72.00
19921231A.kermadec.SSB.BHT_auto.sac,-10.89,95.00
19930113A.india.ANMO.BHT_auto.sac,-0.24,94.00
19930113A.india.GSC.BHT_auto.sac,-0.23,94.00
19930113A.india.HRV.BHT_auto.sac,-0.08,94.00
19930113A.india.ISA.BHT_auto.sac,-0.22,90.00
19930113A.india.LVZ.BHT_auto.sac,-0.27,88.00
19930113A.india.PAB.BHT_auto.sac,-0.22,86.00
19930113A.india.PAS.BHT_auto.sac,-0.12,95.00
19930113A.india.PFO.BHT_auto.sac,-0.44,91.00
19930113A.india.TUC.BHT_auto.sac,-0.08,94.00
19930113A.india.UNM.BHT_auto.sac,-0.28,90.00
19930120A.banda.ANMO.BHT_auto.sac,-16.87,80.00
19930120A.banda.CCM.BHT_auto.sac,-0.23,92.00
19930120A.banda.CDCB.BHT_auto.sac,-0.21,91.00
19930120A.banda.CMB.BHT_auto.sac,-16.35,95.00
19930120A.banda.ECH.BHT_auto.sac,-16.34,91.00
19930120A.banda.SSB.BHT_auto.sac,-15.79,82.00
19930120A.indonesia.HRV.BHT_auto.sac,31.70,67.00
19930207A.japan.CDCB.BHT_auto.sac,-0.37,94.00
19930213A.fiji.LVZ.BHT_auto.sac,-0.00,95.00
19930306A.fiji.ECH.BHT_auto.sac,0.01,93.00
19930306A.fiji.KONO.BHT_auto.sac,-0.33,92.00
19930306A.fiji.LVZ.BHT_auto.sac,11.04,57.00
19930306A.fiji.OBN.BHT_auto.sac,-0.25,94.00
19930306A.fiji.PAB.BHT_auto.sac,-0.17,94.00
19930306A.fiji.SSB.BHT_auto.sac,0.03,91.00
19930306A.fiji.SUR.BHT_auto.sac,-0.23,94.00
19930315A.chile.CAN.BHT_auto.sac,-0.06,74.00
19930315A.chile.CTAO.BHT_auto.sac,-0.26,80.00
19930315A.chile.ERM.BHT_auto.sac,-11.60,92.00
19930315A.chile.LVZ.BHT_auto.sac,-0.22,68.00
19930315A.chile.MAJO.BHT_auto.sac,-11.73,95.00
19930315A.chile.NOUC.BHT_auto.sac,-10.67,94.00
19930315A.chile.NRIL.BHT_auto.sac,-11.39,94.00
